No.;Time;Source;Destination;Protocol;Length
1;0.000000;Alcatel-_19:39:41;Spanning-tree-(for-bridges)_00;STP;60
2;0.130454;68.55.0.1;224.9.9.4;UDP;783
3;0.147551;192.168.168.1;192.168.168.1;ICMP;110
4;0.147606;132.32.128.200;132.32.128.200;ICMP;103
5;0.374202;172.31.48.1;255.255.255.255;DHCP;367
6;0.374140;172.31.48.1;255.255.255.255;DHCP;357
7;0.478767;RealtekS_68:01:ec;Broadcast;ARP;42
8;0.532657;68.55.0.5;224.9.9.4;UDP;166
9;0.600120;68.55.0.30;224.9.9.4;UDP;166
10;0.551141;VMware_c0:00:08;Broadcast;ARP;42
11;0.765534;68.55.0.3;224.9.9.4;UDP;198
12;1.146.850;VMware_c0:00:08;Broadcast;ARP;42
13;1.142.965;68.55.0.19;224.9.9.4;UDP;166
14;1.146.869;RealtekS_68:01:ec;Broadcast;ARP;42
15;1.477.366;68.55.0.4;224.9.9.4;UDP;166
16;1.490.232;Alcatel-_19:39:41;LLDP_Multicast;LLDP;179
17;1.510.979;68.55.0.15;224.9.9.4;UDP;804
18;1.778.000;68.55.0.6;224.9.9.4;UDP;166
19;2.073.461;192.168.56.1;192.168.56.255;NBNS;92
20;2.073.405;192.168.56.1;192.168.56.255;NBNS;82
21;2.147.359;RealtekS_68:01:ec;Broadcast;ARP;42
22;2.147.342;VMware_c0:00:08;Broadcast;ARP;42
23;2.589.120;68.55.0.12;224.9.9.4;UDP;804
24;2.823.633;192.168.56.1;192.168.56.255;NBNS;92
25;2.823.584;192.168.56.1;192.168.56.255;NBNS;82
26;3.147.865;192.168.168.1;192.168.168.1;ICMP;110
27;3.094.880;68.55.0.2;224.9.9.4;UDP;166
28;3.147.903;132.32.128.200;132.32.128.200;ICMP;84
29;3.573.912;192.168.56.1;192.168.56.255;NBNS;92
30;3.573.873;192.168.56.1;192.168.56.255;NBNS;82
31;3.455.231;68.55.0.3;224.9.9.4;UDP;207
32;4.106.806;68.55.0.13;224.9.9.4;UDP;804
33;4.140.409;68.55.0.11;224.9.9.4;UDP;166
34;4.340.772;68.55.0.17;224.9.9.4;UDP;207
35;4.525.492;68.55.0.7;224.9.9.4;UDP;166
36;4.598.079;RealtekS_68:01:ec;Broadcast;ARP;42
37;4.994.480;Alcatel-_19:39:41;Spanning-tree-(for-bridges)_00;STP;60
38;5.006.604;68.55.0.28;224.9.9.4;UDP;207
39;5.035.134;68.55.0.26;224.9.9.4;UDP;166
40;5.119.798;68.55.0.1;224.9.9.4;UDP;783
41;5.147.238;RealtekS_68:01:ec;Broadcast;ARP;42
42;5.493.308;68.55.0.29;224.9.9.4;UDP;166
43;5.598.275;68.55.0.19;224.9.9.4;UDP;804
44;5.853.005;68.55.0.14;224.9.9.4;UDP;166
45;6.146.969;RealtekS_68:01:ec;Broadcast;ARP;42
